input,actual_output,expected_output,context,retrieval_context,n_chunks_per_context,context_length,evolutions,context_quality,synthetic_input_quality,source_file
"I feel really lost and empty all the time, like nothing makes sense anymore. Is there someone I can talk to or somewhere I can go for help with my mental health?",,,[],,0,0,['In-Breadth'],,1.0,
I really need warm clothes for winter but I can't afford much. Are there any places nearby where I can get good jackets or sweaters for cheap? It's getting cold and I don't have enough.,,,[],,0,0,['Constrained'],,0.1,
"I don't have anywhere to sleep tonight, can you help me find shelter?",,,[],,0,0,['Multi-context'],,0.9,
I haven't eaten in days and I feel really weak. Is there anywhere I can get some food or help?,,,[],,0,0,['Multi-context'],,1.0,
"I really need food and clothes, can you tell me where I can get them for free? Are there any food banks or shelters that help with this?",,,[],,0,0,['Concretizing'],,1.0,
I don't have anywhere to sleep tonight. What's the difference between emergency shelter and transitional housing? Which one can I get into fast?,,,[],,0,0,['Comparative'],,0.9,
I haven't eaten in days and I'm really hungry. Is there anywhere I can get free food or meals? Please help.,,,[],,0,0,['Reasoning'],,0.1,
I lost my job and can't pay my rent anymore. Is there any emergency housing or help for people like me? I'm really scared I might end up on the street soon.,,,[],,0,0,['Constrained'],,0.6,
"I feel really unsafe right now, it's late and I'm alone. Can you help me find somewhere safer nearby if I tell you where I am?",,,[],,0,0,['Constrained'],,0.5,
"I am undocumented and really sick, but I don't have any papers. Can I still get medical help? I'm scared and don't know what to do.",,,[],,0,0,['Hypothetical'],,0.8,
"I don't have a proper jacket or warm clothes, it's really cold and I can't stop shivering. Is there anywhere I can get something to keep me warm?",,,[],,0,0,['Comparative'],,0.8,
I have a rare medical condition and I don't know where to get help. Can you tell me if there are any places I can go for treatment or support? I'm really scared and tired.,,,[],,0,0,['In-Breadth'],,0.6,
I think someone is following me and I'm really scared. What should I do right now to stay safe?,,,[],,0,0,['Concretizing'],,1.0,
I haven't eaten in days and I'm homeless. Is there a way to find food without drawing too much attention? I'm scared and don't want trouble.,,,[],,0,0,['In-Breadth'],,0.8,
"I really need somewhere to shower and do laundry, is there any place I can go? I haven't been able to clean myself or my clothes for days.",,,[],,0,0,['Concretizing'],,0.5,
"I need a safe place to stay for a long time, but I have medical equipment and the area is not safe. Can you help me find somewhere discreet where I won't be at risk?",,,[],,0,0,['In-Breadth'],,0.1,
I don't have money and I really need medicine fast. Is there any help for people like me? I'm scared and don't know what to do.,,,[],,0,0,['Constrained'],,0.8,
I feel really lonely and don't know who to talk to. Are there places or people who can help me with this? I just need someone to listen.,,,[],,0,0,['Reasoning'],,1.0,
I don't have any ID and I'm undocumented. Is there anywhere I can stay tonight? I'm really scared and don't know what to do.,,,[],,0,0,['In-Breadth'],,0.9,
"I have kids and need a safe place to stay for my family. What do I need to get into a shelter nearby? Please help, I'm really worried.",,,[],,0,0,['Constrained'],,0.5,
It's really cold and I don't have proper clothes. Is there anywhere I can get warm clothing or blankets? I feel freezing all the time.,,,[],,0,0,['In-Breadth'],,1.0,
I hurt myself but I'm really scared of hospitals. What should I do? Is there any other way to get help?,,,[],,0,0,['Comparative'],,1.0,
I don't have anywhere to sleep tonight and I'm really scared. Can you help me find a safe place?,,,[],,0,0,['Concretizing'],,0.8,
I feel so tired all the time and it's making me scared for my safety. What can I do to stay safe when I'm this exhausted?,,,[],,0,0,['Reasoning'],,0.9,
"I feel hopeless and lost every day, I don't know how to deal with all this uncertainty. Can you help me with some advice or support for my wellbeing?",,,[],,0,0,['Reasoning'],,1.0,
"I just became homeless and I need somewhere safe to sleep tonight. What can I do, where can I go? Please help, I'm really scared.",,,[],,0,0,['Constrained'],,0.9,
I haven't eaten in days and I don't know where to find food nearby. Can you tell me what places are open and what they offer? I'm really hungry.,,,[],,0,0,['Reasoning'],,0.0,
"I lost my job and can't pay my rent anymore. Is there any help for people like me? I don't know what to do, I'm really scared.",,,[],,0,0,['Constrained'],,0.6,
"I feel unsafe where I am right now. If I move to another place, will it be safer? What can I do to protect myself?",,,[],,0,0,['Reasoning'],,0.1,
I'm undocumented and really scared to go to the hospital. Will they call the police or deport me if I need emergency care?,,,[],,0,0,['In-Breadth'],,0.7,
It's really cold and I don't have enough warm clothes. What kind of clothing should I look for to stay warm? I feel freezing all the time.,,,[],,0,0,['Multi-context'],,0.9,
I feel really lost and need help with medical stuff and also just someone to talk to. Can you tell me where I can get help for my health and maybe some emotional support? I don't know who to ask.,,,[],,0,0,['Constrained'],,0.6,
I think someone is following me and I'm really scared. What should I do right now to stay safe?,,,[],,0,0,['Concretizing'],,1.0,
"I haven't eaten anything for two days, I'm really hungry and weak. Can you tell me where I can get food right now?",,,[],,0,0,['Concretizing'],,0.7,
"I don't have anywhere to shower or do laundry, my home doesn't have any facilities. Where can I go? I'm really tired and just need to clean up.",,,[],,0,0,['Multi-context'],,0.5,
"I need a safe place to stay tonight, somewhere discreet and open all hours. I'm young and really scared, is there anywhere I can go right now?",,,[],,0,0,['In-Breadth'],,0.1,
I don't have money for medicine and I need treatment. Can free clinics help me get what I need?,,,[],,0,0,['Hypothetical'],,0.8,
I don't have anywhere to sleep tonight and I'm really scared. Can you help me find a safe place?,,,[],,0,0,['Multi-context'],,1.0,
"I need somewhere to sleep tonight, I have nowhere to go and I'm really scared. Can you help me find a shelter?",,,[],,0,0,['In-Breadth'],,0.2,
I feel really anxious about my health but I'm scared to go to the hospital because I'm undocumented. What should I do? Is there any help for people like me?,,,[],,0,0,['Comparative'],,1.0,
My kid is really sick and I don't have insurance. Is there anywhere I can go for help or emergency care that won't cost too much? I'm really scared.,,,[],,0,0,['Constrained'],,1.0,
I just got evicted and I don't know where to go. Are there any safe places I can stay or people who can help me right now?,,,[],,0,0,['Constrained'],,0.5,
"All my clothes are gone, I don't know what to do. Where can I get some clothes fast? I feel really lost.",,,[],,0,0,['Hypothetical'],,1.0,
I don't know where I can sleep safely tonight. What should I look for to find a safe place to rest? I'm really tired and scared.,,,[],,0,0,['Multi-context'],,0.0,
I'm really scared because my kid is undocumented and we might get deported. Can we get emergency healthcare and legal help? I don't know what to do.,,,[],,0,0,['In-Breadth'],,0.5,
"I don't have papers or insurance, can I still get urgent medical help? Also, is there any way to get legal support? I'm really worried.",,,"['Document: Remaining Undocumented If you remain in the Netherlands without residency status you will become *undocumented*.\n\nUndocumented persons do not have a right to housing, work or government subsidies.\n\nHowever, you still have the right to necesarry medical care, judicial assistance and children under 18 have to right to attend school as well.  \n\nYou can choose to apply for asylum at any point with undocumented status.  \n\nFor more information you can reach out to the Red Cross helpline via Whatsapp here: https://wa.me/31614458781 or visit the Red Cross website Helpful Information: https://helpfulinformation.redcross.nl/', ""Document: Amsterdam (e-mail !)\n\nHSP is closed Ukrainians in Amsterdam can report to the municipality directly via opvangoekraine@amsterdam.nl   \n\nSometimes, the person may initially receive a rejection due to the current situation in NL.\n\nWe recommend following up on the response and continuing communication with the municipality via the same email.\n\nIn your follow-up, kindly explain your situation, where you're staying, and how long you can stay there.\n\nAlso, include any important details about your circumstances, such as medical conditions, young children, or other special needs"", ""Document: GGD Center for Sexual Health in Amsterdam You can talk to the GGD about every topic concerning your body, your relations and sex.\n\nThey can provide care regarding your sexual health, sexual orientation, gender issues,  sexwork or sexual violence.\n\nCome in to talk about ways to protect yourself with  PEP/PrEP, contraception and vaccinations.\n\nThis is a LHBT-friendly centre.\n\nYou don't need  ID / BSN / health-insurance.  \n\nYou have to call or use the website link to make an appointment.   \n\nEveryone is welcome, the care is free of charge.\n\nYou do not need a referral by a doctor.   \n\nAll healthcare workers have professional secrecy.  \n\nhttps://afspraak.ggdaphrodite.nl/?lang=en   Phone: (020) 555 5822  Address: GGD Amsterdam Centrum voor Seksuele Gezondheid Nieuwe Achtergracht 100 1018 WT Amsterdam (near Weesperplein metro station)"", 'Document: I am a transperson, where can I get support?\n\nIf you need trans care, you can contact the Trans United trans clinic, a community initiative with support from the GGD Amsterdam:  https://transunitedeurope.eu/?page_id=255  \n\nFor more information see:  - https://www.refugeehelp.nl/en/ukrainian-refugee/article/100298-living-in-the-netherlands-as-an-lgbtqia-individual - https://www.refugeehelp.nl/en/ukrainian-refugee/article/100299-activities-for-the-lgbtqia-community', 'Document: I need medical treatment in the Netherlands and an I am abroad  Many people in Ukraine lack access to the medical care they need.\n\nThis can be for all kinds of diseases, like cancer treatment, but also for wounds caused by grenades, bullets or mines.   \n\nFor a detailed step-by-step guide on handling cases where PAs abroad want to come to the Netherlands, see below.  \n\n## Important notes  - There are two main categories of people wanting to come to NL for medical treatment.\n\nAlways ask the PA about their goal of coming to the Netherlands:  1.\n\nComing to the Netherlands for temporary treatment and then returning to Ukraine: Since the start of the war, the EU has designed a standard procedure for Ukrainians in need of urgent medical care.\n\nThe patients must be applied by their doctor for one of the following programs: Medevac Coordination Center (Civil) or Medical Forces Command (Military).\n\nEU countries (NL included) will receive these applications and can decide to accept the case, after which the patient will be brought to a medical hub in Poland and then transferred to the country that accepted.', ""Document: I need medical treatment and I am in the Netherlands.\n\nWhat can I do?  \n\nAll hospitals in the Netherlands provide medical care for Ukrainian refugees, including Ukrainian PAs with cancer.\n\nThey can continue their treatment in the Netherlands, in consultation with a doctor. \r \n\nFirst, you need to visit a general practitioner (GP), who will refer you to the hospital if necessary.\n\nIf you have your medical file, bring it with you as it can be helpful.\n\nHaving a Dutch-speaking person assist you can also make the process easier, but it is not mandatory.   \n\nFor more information on finding a GP, see the questions under the sub-category 'doctor' or click [here](https://agreeable-forest-090d2f903.4.azurestaticapps.net/ukraine/health-wellbeing/doctor) \r \n\nFor most recent information on cancer treatment see: https://www.kanker.nl/nieuwsberichten/gratis-kankerzorg-voor-oekraiense-vluchtelingen"", 'Document: Netherlands Red Cross Amsterdam Every person in need, regardless of background and papers, is welcome at the Humanitarian Service Point in the Amsterdam office of The Netherlands Red Cross.\n\nFor everyone who visits, the situation is examined and a possible solution is sought.\n\nTo find a solution, the Red Cross is also dependent on available assistance from other organizations.', 'Document: Will I still receive care if I do not apply for asylum?\n\nIf you do not want to go through the asylum procedure or your asylum application has been rejected, you will be responsible for the costs of care yourself from 4 March 2024.\n\nIf you are unable to pay the costs of medically necessary care, the healthcare provider can appeal to the Subsidy Scheme for Medically Necessary Care for Uninsured Persons (SOV) or the Uninsurable Scheme (OVV) (https://www.hetcak.nl/zakelijk/onverzekerbare-vreemdelingen/).', 'Document: Do I still receive healthcare?\n\nYou always have the right to medically necessary care in the Netherlands.\n\nHow that care is paid for depends on the situation.', 'Document: Do I need health insurance?\n\nFor displaced persons from Ukraine, basic healthcare and urgent medical care are covered.\n\nAs of 1 July 2022, displaced persons from Ukraine with a BSN will be covered by the Medical Care for Displaced Persons Regulation (RMO).\n\nFor more information about RMO see: https://www.rmoekraine.nl/Zorgverleners/over-RMO  You do need to take out health insurance when you start working in the Netherlands.   \n\nFor most recent information see:  https://www.refugeehelp.nl/en/ukrainian-refugee/article/100084-you-are-entitled-to-healthcare-through-the-rmo  https://www.rijksoverheid.nl/actueel/nieuws/2022/06/29/zorgverzekering-ontheemden-oekraine-verandert', 'Document: All information shared is kept confidential.\n\nThe support offered by FairWork is free of charge.\n\nSee: www.fairwork.nu.   \n\nPotential victims are entitled to the assistance of a lawyer.\n\nSpecialised counsellors can make referrals.\n\nIf a (migration) lawyer is already in place, it is advisable to discuss possible trafficking/exploitation with him/her.   \n\nAfter a crime such as human trafficking, but also in cases of (sexual) violence, for example, it is possible to report it.\n\nUndocumented migrants also have the right to report safely to the specialised police department (AVIM).\n\nFor undocumented migrants, we recommend going to the police together with a social worker.\n\nSpecialised social workers can provide information on the reporting procedure    In cases of human trafficking in the Netherlands (sometimes also within EU), victims who report human trafficking are entitled to assistance and protection, such as shelter and a temporary residence permit.\n\nThere are conditions attached to this.\n\nFor more information see: [Ondersteunen van slachtoffers |Wegwijzer mensenhandel](https://www.wegwijzermensenhandel.nl/ondersteunen-van-slachtoffers)', ""Document: Huisartsenpost Amsterdam When you are in Amsterdam you can call or visit this place if you feel very sick outside of times that regular health services are open.  \n\n+31 88 - 00 30 600 (17:00 - 08:00)  https://www.huisartsenpostenamsterdam.nl/  \n\nIf it's life-threatening: Call 112 instead!"", 'Document: I need an orthodontist, where can I go and is it reimbursed?  \n\nIn principle, the orthodontist will not be reimbursed.\n\nThe 16 orthodontic practices of TopOrtho in the Netherlands offer orthodontic emergency care up to €250 free of charge to refugees.     \n\nFor most recent information and to maken an appointment see: https://www.toportho.nl/emergency-dental-care-for-ukrainian-refugees-in-the-netherlands/', ""Document: Where can I find general information about healthcare in The Netherlands?\n\nFor an overview of questions about your own healthcare or your family's, you can go to the website of the Dutch government: https://www.government.nl/topics/themes/family-health-and-care   For an infografic about primary care in the Netherlands see: [NL](https://www.pharos.nl/kennisbank/infographic-eerstelijnszorg-nederlands-versie-voor-oekraiense-ontheemden/)\n\n[UA](https://www.pharos.nl/kennisbank/infographic-eerstelijnszorg-oekraiens/)  For an overview of educational materials in different languages [click here](https://ggdghor.nl/wp-content/uploads/2024/01/Overzicht-voorlichtingsmateriaal-in-diverse-talen-versie-2024.pdf)  \n\nFor an information video about healthcare in the Netherlands by the Red Cross choose your language below: [EN](https://youtu.be/cQogocKtJ-o)\n\n[UA](https://youtu.be/3Bf7Riv8YuY)"", 'Document: Where can I find healthcare for my child?  \n\nThe JGZ (youth healthcare) is responsible for preventive care for children, including those of refugees.\n\nThe JGZ provides physical, cognitive and psychosocial screenings and provides vaccinations in accordance with the National Vaccination Programme.   \n\nDisplaced persons from the Ukraine in the Netherlands can make use of this care free of charge.\n\nPlease contact the youth healthcare department of the regional GGD or JGZ organisation.  \n\nAn overview of JGZ locations can be found on Zorgkaart Nederland: https://www.zorgkaartnederland.nl/jeugdgezondheidszorg', 'Document: In the evening / office hours; check urgency and if it can wait for the next day.\n\nExplain that somebody can always call 112 or go to the huisartsenpost.   \n\n- Check really well if information is clear and if they can follow up with the information that you provided.\n\nLet them know they can always come back when they face issues or do not receive the right help.   \n\nDo you have an emergency?\n\nCall 112 or go to the Emergency Room in the nearest hospital.  \n\nIn the next two questions you can find information on how to find a GP.  \n\nFor most recent information see: https://www.refugeehelp.nl/en/ukrainian-refugee/article/100072-this-is-how-the-dutch-healthcare-system-works', 'Document: Access to medical care - Third party insurance - Living allowance (if asylum procedure has started) - Public transportation card - Education and development program - Payment of extraordinary expenses  Based on Red Cross standards, the following are specifically added: - Clothing and shoes - Locker - Night light - Shower gel - Shampoo - Toothbrush & toothpaste - Menstural hygiene - Razor - Bath Towel - Small towel - Hairbrush - Diapers - Baby lotion - Washing up liquid - Washing machine detergent - Space for children - Space for men - Space for women  For more information see:  - https://vng.nl/sites/default/files/2021-10/handreiking-crisisnoodopvang.pdf - https://wetten.overheid.nl/BWBR0017959/2022-01-01#HoofdstukIV', ""Document: but they don't need to understand it themselves.  \n\n- [This website](https://www.kiesuwhuisarts.nl/)lists the addresses of general practitioners in your area (classification by zip code).  \n\n- You can also check [this website](https://www.zorgkaartnederland.nl/huisarts?zoekterm=huisarts.) -\n\nFor most recent information, [check this website](https://www.refugeehelp.nl/en/ukrainian-refugee/article/100072-this-is-how-the-dutch-healthcare-system-works)  \n\nYou are not obliged to register with a general practitioner, but it is recommended."", 'Document: [UA](https://youtu.be/3Bf7Riv8YuY)\n\n[RUS](https://youtu.be/tBTuyLwrsAc)  \n\nFor most recent information see: https://www.refugeehelp.nl/en/ukrainian-refugee/article/100072-this-is-how-the-dutch-healthcare-system-works', ""Document: The doctor will determine whether this is necessary.  \n\n3)\n\nIf the doctor does not want to arrange a translator or don't know how to do this, you can show the website mentioned before (https://www.zoschakeltueentolkin.nl/)   \n\nFor more information, check the links below: - https://www.refugeehelp.nl/en/ukrainian-refugee/article/100075-this-is-how-healthcare-works - https://www.refugeehelp.nl/en/ukrainian-refugee/article/100398-what-you-need-to-know-if-you-have-a-healthcare-appointment-and-do-not-speak-dutch""]",,20,12449,['Constrained'],,0.8,
